route_name,start_stop_name,start_ds100,end_stop_name,end_ds100,composition_id,n_coaches,weight_t,length_m,v_max_kmh,energy_kwh,distance_km,travel_time_min
454 = 455,Duisburg Hbf,EDG,Düsseldorf Hbf,KD,REF-COUCH-6,6,313.0,158.4,200,129,23.6,14
454 = 455,Duisburg Hbf,EDG,Düsseldorf Hbf,KD,REF-BAL-9,9,501.4,237.6,200,171,23.6,14
454 = 455,Duisburg Hbf,EDG,Düsseldorf Hbf,KD,REF-COUCH-10,10,532.2,264.0,200,180,23.6,15
454 = 455,Duisburg Hbf,EDG,Düsseldorf Hbf,KD,REF-BUD-12,12,636.0,316.8,200,204,23.6,15
454 = 455,Duisburg Hbf,EDG,Düsseldorf Hbf,KD,REF-PREM-12,12,631.6,316.8,200,203,23.6,15
454 = 455,Duisburg Hbf,EDG,Düsseldorf Hbf,KD,NEW-BAL-7,7,313.8,185.7,230,135,23.6,14
454 = 455,Duisburg Hbf,EDG,Düsseldorf Hbf,KD,NEW-BAL-14,14,627.6,371.4,230,212,23.6,15
Canopus,Dresden Neustadt,DN,Riesa,DR,REF-BUD-6,6,323.3,158.4,200,223,50.0,32
Canopus,Dresden Neustadt,DN,Riesa,DR,REF-COUCH-6,6,313.0,158.4,200,220,50.0,32
Canopus,Dresden Neustadt,DN,Riesa,DR,REF-BAL-9,9,501.4,237.6,200,291,50.0,33
Canopus,Dresden Neustadt,DN,Riesa,DR,REF-COUCH-10,10,532.2,264.0,200,305,50.0,33
Canopus,Dresden Neustadt,DN,Riesa,DR,REF-BUD-12,12,636.0,316.8,200,348,50.0,33
Canopus,Dresden Neustadt,DN,Riesa,DR,REF-PREM-12,12,631.6,316.8,200,346,50.0,33
Canopus,Dresden Neustadt,DN,Riesa,DR,NEW-BAL-7,7,313.8,185.7,230,227,50.0,32
Canopus,Dresden Neustadt,DN,Riesa,DR,NEW-BAL-14,14,627.6,371.4,230,358,50.1,33
Canopus,Frankfurt (Main) Süd,FFS,Leipzig Hbf,LL,REF-BUD-6,6,323.3,158.4,200,1659,370.6,224
Canopus,Frankfurt (Main) Süd,FFS,Leipzig Hbf,LL,REF-COUCH-6,6,313.0,158.4,200,1637,370.6,224
Canopus,Frankfurt (Main) Süd,FFS,Leipzig Hbf,LL,REF-BAL-9,9,501.4,237.6,200,2154,370.7,224
Canopus,Frankfurt (Main) Süd,FFS,Leipzig Hbf,LL,REF-COUCH-10,10,532.2,264.0,200,2258,370.7,227
Canopus,Frankfurt (Main) Süd,FFS,Leipzig Hbf,LL,REF-BUD-12,12,636.0,316.8,200,2550,370.7,227
Canopus,Frankfurt (Main) Süd,FFS,Leipzig Hbf,LL,REF-PREM-12,12,631.6,316.8,200,2539,370.7,227
Canopus,Frankfurt (Main) Süd,FFS,Leipzig Hbf,LL,NEW-BAL-7,7,313.8,185.7,230,1704,370.6,224
Canopus,Frankfurt (Main) Süd,FFS,Leipzig Hbf,LL,NEW-BAL-14,14,627.6,371.4,230,2629,370.7,227
Canopus,Karlsruhe Hbf,RK,Mannheim Hbf,RM,REF-BUD-6,6,323.3,158.4,200,247,60.6,37
Canopus,Karlsruhe Hbf,RK,Mannheim Hbf,RM,REF-COUCH-6,6,313.0,158.4,200,244,60.6,37
Canopus,Karlsruhe Hbf,RK,Mannheim Hbf,RM,REF-BAL-9,9,501.4,237.6,200,318,60.6,37
Canopus,Karlsruhe Hbf,RK,Mannheim Hbf,RM,REF-COUCH-10,10,532.2,264.0,200,334,60.6,38
Canopus,Karlsruhe Hbf,RK,Mannheim Hbf,RM,REF-BUD-12,12,636.0,316.8,200,377,60.6,38
Canopus,Karlsruhe Hbf,RK,Mannheim Hbf,RM,REF-PREM-12,12,631.6,316.8,200,376,60.6,38
Canopus,Karlsruhe Hbf,RK,Mannheim Hbf,RM,NEW-BAL-7,7,313.8,185.7,230,257,60.6,37
Canopus,Karlsruhe Hbf,RK,Mannheim Hbf,RM,NEW-BAL-14,14,627.6,371.4,230,394,60.6,38
Canopus,Leipzig Hbf,LL,Karlsruhe Hbf,RK,REF-BUD-6,6,323.3,158.4,200,2342,502.9,304
Canopus,Leipzig Hbf,LL,Karlsruhe Hbf,RK,REF-COUCH-6,6,313.0,158.4,200,2310,502.9,304
Canopus,Leipzig Hbf,LL,Karlsruhe Hbf,RK,REF-BAL-9,9,501.4,237.6,200,3057,502.9,305
Canopus,Leipzig Hbf,LL,Karlsruhe Hbf,RK,REF-COUCH-10,10,532.2,264.0,200,3210,502.9,308
Canopus,Leipzig Hbf,LL,Karlsruhe Hbf,RK,REF-BUD-12,12,636.0,316.8,200,3648,502.9,308
Canopus,Leipzig Hbf,LL,Karlsruhe Hbf,RK,REF-PREM-12,12,631.6,316.8,200,3632,502.9,308
Canopus,Leipzig Hbf,LL,Karlsruhe Hbf,RK,NEW-BAL-7,7,313.8,185.7,230,2408,502.9,304
Canopus,Leipzig Hbf,LL,Karlsruhe Hbf,RK,NEW-BAL-14,14,627.6,371.4,230,3767,502.9,308
Canopus,Mannheim Hbf,RM,Frankfurt (Main) Süd,FFS,REF-BUD-6,6,323.3,158.4,200,333,77.5,48
Canopus,Mannheim Hbf,RM,Frankfurt (Main) Süd,FFS,REF-COUCH-6,6,313.0,158.4,200,329,77.5,48
Canopus,Mannheim Hbf,RM,Frankfurt (Main) Süd,FFS,REF-BAL-9,9,501.4,237.6,200,428,77.5,48
Canopus,Mannheim Hbf,RM,Frankfurt (Main) Süd,FFS,REF-COUCH-10,10,532.2,264.0,200,449,77.5,48
Canopus,Mannheim Hbf,RM,Frankfurt (Main) Süd,FFS,REF-BUD-12,12,636.0,316.8,200,507,77.5,48
Canopus,Mannheim Hbf,RM,Frankfurt (Main) Süd,FFS,REF-PREM-12,12,631.6,316.8,200,505,77.5,48
Canopus,Mannheim Hbf,RM,Frankfurt (Main) Süd,FFS,NEW-BAL-7,7,313.8,185.7,230,344,77.5,48
Canopus,Mannheim Hbf,RM,Frankfurt (Main) Süd,FFS,NEW-BAL-14,14,627.6,371.4,230,534,77.5,48
Canopus,Offenburg,RO,Karlsruhe Hbf,RK,REF-BUD-6,6,323.3,158.4,200,267,69.0,44
Canopus,Offenburg,RO,Karlsruhe Hbf,RK,REF-COUCH-6,6,313.0,158.4,200,264,69.0,44
Canopus,Offenburg,RO,Karlsruhe Hbf,RK,REF-BAL-9,9,501.4,237.6,200,345,69.2,43
