route_id,trip_id,leg_sequence,from_stop_id,to_stop_id,countries,scheduled_running_min,routed_driving_min,routed_dynamics_min,routed_model_min,implied_buffer_min,implied_buffer_pct,routed_buffer_min,applied_buffer_pct,routed_distance_km,excluded_reason
50,ÖBB NJ 456,4,Wiener Neustadt Hbf,Wien Meidling,AT,28,20,1,21,7,33.3,7,33.3,44.6,
50,ÖBB NJ 456,5,Wien Meidling,Wien Hbf,AT,5,3,1,4,1,,1,25.0,3.5,leg_too_short
50,ÖBB NJ 456,6,Wien Hbf,Břeclav,AT+CZ,54,52,1,53,1,1.9,19,35.8,89.3,
50,ÖBB NJ 456,7,Břeclav,Brno hl.n.,CZ,29,28,1,29,0,0.0,11,37.9,60.3,
50,ÖBB NJ 456,8,Brno hl.n.,Pardubice hl.n.,CZ,94,88,1,89,5,5.6,35,39.3,149.7,
50,ÖBB NJ 456,9,Pardubice hl.n.,Praha hl.n.,CZ,62,48,1,49,13,26.5,19,38.8,103.6,
50,ÖBB NJ 456,10,Praha hl.n.,Praha-Holešovice,CZ,8,6,1,7,1,,2,28.6,8.0,leg_too_short
50,ÖBB NJ 456,11,Praha-Holešovice,Ústí nad Labem hl.n.,CZ,59,58,1,59,0,0.0,23,39.0,104.3,
50,ÖBB NJ 456,12,Ústí nad Labem hl.n.,Děčín hl.n.,CZ,15,14,1,15,0,0.0,6,40.0,22.7,
50,ÖBB NJ 456,13,Děčín hl.n.,Bad Schandau,CZ+DE,20,13,1,14,6,42.9,5,35.7,22.2,
50,ÖBB NJ 456,14,Bad Schandau,Dresden Hbf,DE,27,29,1,30,-3,-10.0,14,46.7,40.8,router_slower_than_reality
50,ÖBB NJ 456,15,Dresden Hbf,Dresden Neustadt,DE,5,4,1,5,0,,2,40.0,3.9,leg_too_short
50,ÖBB NJ 456,16,Dresden Neustadt,Berlin Südkreuz,DE,93,86,1,87,6,6.9,44,50.6,175.2,
50,ÖBB NJ 456,17,Berlin Südkreuz,Berlin Hbf,DE,13,13,1,14,-1,-7.1,6,42.9,16.0,router_slower_than_reality
53,ÖBB NJ 236,1,Venezia Santa Lucia,Venezia Mestre,IT,10,5,1,6,4,,2,33.3,8.3,leg_too_short
53,ÖBB NJ 236,2,Venezia Mestre,Treviso Centrale,IT,17,17,1,18,-1,-5.6,7,38.9,21.7,router_slower_than_reality
53,ÖBB NJ 236,3,Treviso Centrale,Conegliano,IT,16,15,1,16,0,0.0,6,37.5,27.6,
53,ÖBB NJ 236,4,Conegliano,Pordenone,IT,16,13,1,14,2,14.3,6,42.9,29.5,
53,ÖBB NJ 236,5,Pordenone,Udine,IT,29,23,1,24,5,20.8,9,37.5,48.7,
53,ÖBB NJ 236,6,Udine,Tarvisio Boscoverde,IT,63,37,1,38,25,65.8,16,42.1,88.8,
53,ÖBB NJ 236,7,Tarvisio Boscoverde,Villach Hbf,AT+IT,22,19,1,20,2,10.0,7,35.0,28.7,
53,ÖBB NJ 236,8,Villach Hbf,Salzburg Hbf,AT,130,123,1,124,6,4.8,43,34.7,181.0,
53,ÖBB NJ 236,9,Salzburg Hbf,Rosenheim,AT+DE,44,50,1,51,-7,-13.7,24,47.1,88.2,router_slower_than_reality
53,ÖBB NJ 236,10,Rosenheim,München Ost,DE,33,27,1,28,5,17.9,15,53.6,55.0,
53,ÖBB NJ 236,11,München Ost,Augsburg Hbf,DE,51,29,1,30,21,70.0,15,50.0,65.9,
53,ÖBB NJ 236,12,Augsburg Hbf,Ulm Hbf,DE,45,37,1,38,7,18.4,19,50.0,85.7,
53,ÖBB NJ 236,13,Ulm Hbf,Göppingen,DE,33,32,1,33,0,0.0,16,48.5,52.1,
53,ÖBB NJ 236,14,Göppingen,Stuttgart Hbf,DE,24,23,1,24,0,0.0,12,50.0,41.0,
54,MÁV/ÖBB EN 50237,1,Budapest Keleti,Budapest Kelenföld,HU,,20,0,20,,,8,40.0,14.2,no_timetable
54,MÁV/ÖBB EN 50237,2,Budapest Kelenföld,Győr,HU,,61,1,62,,,24,38.7,125.6,no_timetable
